huc_name,whp,acres_burnable,population_in_huc,Latitude,Longitude
Eagle Creek S,3892.455078,17221,244,47.65891881,-120.5432362
Phelps Creek,749.9848022,8304,110,48.12629886,-120.8375163
Flat Creek,223.710144,11187,55,48.40054649,-120.9912946
Middle Little Wenatchee River,4104.849609,8376,98,47.86747889,-120.9981462
Mud Creek,854.2025757,12718,49,47.79414561,-120.3020868
South Fork Cascade River,299.2183838,17239,200,48.41497599,-121.103539
Byrd Canyon-Columbia River,285.5011902,22968,244,47.72299822,-120.1948058
Sulphur Creek,395.2239075,16573,166,48.27243815,-121.0872807
War Creek,3554.768555,14862,136,48.3382906,-120.5009245
Lower Icicle Creek,3052,16122,259,47.52669135,-120.7324004
Black Canyon Creek,1000.6203,15276,158,48.039559,-120.0590728
North Fork Entiat River,2678.927002,15798,58,48.05610189,-120.589361
Pearson Creek-Naneum Creek,386.1170349,20626,276,47.27537309,-120.5087848
Lower Chiwawa River,11411.91699,23382,277,47.86013259,-120.6590979
Ollala Canyon-Wenatchee River,1089.370728,20266,931,47.56640325,-120.512912
Devore Creek-Lake Chelan,1351.465942,28300,124,48.2753418,-120.6653979
Upper White River,848.1516113,26499,355,48.01928112,-121.0141977
Beaver Creek-Wenatchee River,8705.892578,26282,316,47.76572591,-120.6676168
Lone Fir Creek-Lake Chelan,999.8810425,24229,107,48.09074683,-120.4821462
Middle Chiwawa River,7489.409668,10196,118,47.93515181,-120.7822285
Mills Creek-Entiat River,947.5234375,30011,168,47.68338093,-120.3117882
Upper Thunder Creek,234.7140656,12033,208,48.54251082,-121.0408148
Upper North Fork Teanaway River,8541.123047,27922,535,47.39381292,-120.8584416
Jack Creek,1449.753174,15906,208,47.53727438,-120.9576601
Headwaters Twisp River,811.2680664,9475,36,48.47157775,-120.5959956
Dry Gulch-Columbia River,376.2305298,12268,959,47.32589793,-120.1307821
North Fork Bridge Creek,263.6524353,11817,57,48.50542251,-120.8697858
Lower Mad River,1557.504761,15132,55,47.77747097,-120.4576695
Lower White River,4334.543457,15942,187,47.88986835,-120.8912613
Lower Railroad Creek,2556.694336,14970,58,48.17922869,-120.6840669
Falls Creek-Lake Chelan,854.0509033,15924,459,48.04484713,-120.3203064
Lower Nason Creek,6988.52002,30263,352,47.7682447,-120.8170952
Chiwaukum Creek,4752.000488,26787,343,47.69291821,-120.8371583
Company Creek,1074.002686,13240,59,48.28852661,-120.8050787
Chikamin Creek,5903.575195,13619,154,47.96101793,-120.7058388
Squilchuck Creek,2731.098633,15906,1655,47.33566763,-120.366451
Headwaters Cle Elum River,1076.338745,27705,573,47.49962529,-121.0562754
